metric_name,display_name,service_area,owner_department,cadence,definition,default_metric_logic,default_target,has_current_detail,has_current_summary,has_history,service_area_order,score_calculated_ts,target,metric_logic,day_score,day_numerator,day_denominator,week_score,week_numerator,week_denominator,month_score,month_numerator,month_denominator,quarter_score,quarter_numerator,quarter_denominator,latest_score_flag,score_final_table_ts,previous_day_score,previous_week_score,previous_month_score,previous_quarter_score,score_day_name,as_of_date,selected_period,selected_score,actual_primary_value,actual_secondary_value,summary_previous_score,day_previous_score,week_previous_score,month_previous_score,quarter_previous_score,rolling_mean_14,rolling_mean_28,history_previous_score,history_change_vs_previous,history_below_target_streak,history_recent_decline_flag,previous_score,change_vs_previous,below_target_streak,recent_decline_flag,stale_metric,severity,alert_reasons,severity_rank,selected_score_sort
EMS INCIDENTS,EMS Incidents,Public Safety,Emergency Medical Services,weekday,EMS incident volume versus the historical average. Scores above 1 indicate fewer incidents.,,,False,False,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,False,blue,['No current score is available for the selected period.'],2,999.0
STREETLIGHT ON-TIME %,Streetlight On-Time %,Streets And Public Works,Public Works,weekday,Percent of streetlight repair requests completed within the service target.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,1.0,2026-05-16 08:45:36,,,,,Friday,2026-05-16 00:00:00,,,,,,,,,,,,,,,,,,0,False,False,blue,['No current score is available for the selected period.'],2,999.0
PARKS MAINTENANCE ON-TIME %,Parks Maintenance On-Time %,Parks And Public Realm,Parks And Recreation,weekday,Percent of parks maintenance requests completed within the service target.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,3,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,1.0,2026-05-16 08:45:36,,,,,Friday,2026-05-16 00:00:00,,,,,,,,,,,,,,,,,,0,False,False,blue,['No current score is available for the selected period.'],2,999.0
TREE MAINTENANCE ON-TIME %,Tree Maintenance On-Time %,Parks And Public Realm,Parks And Recreation,weekday,Percent of tree maintenance requests completed within the service target.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,3,2026-05-16 07:20:18,0.8,sum(numerator_value)/sum(denominator_value)/target,,,,,,,,,,,,,1.0,2026-05-16 08:45:36,,,,,Friday,2026-05-16 00:00:00,,,,,,,,,,,,,,,,,,0,False,False,blue,['No current score is available for the selected period.'],2,999.0
BPS ATTENDANCE,BPS Attendance,Education And Civic Life,Boston Public Schools,school_day,Student attendance rate across Boston Public Schools against a 95% goal.,average(sum(numerator_value)/sum(denominator_value))/target,0.95,True,True,True,5,2026-05-16 07:20:15,0.95,average(sum(numerator_value)/sum(denominator_value))/target,,,,,,,,,,,,,1.0,2026-05-16 08:45:36,,,,,Friday,2026-05-16 00:00:00,,,,,,,,,,,,,,,,,,0,False,False,blue,['No current score is available for the selected period.'],2,999.0
HOMICIDES (TREND),Homicides,Public Safety,Boston Police Department,weekday,Homicide trend versus historical average. Scores above 1 indicate fewer homicides.,historical_average / current_average,,True,True,True,0,2026-05-16 07:20:16,,historical_average / current_average,,0.19047619047619,,1.33333333333333,0.19047619047619,0.142857142857143,,0.0972222222222222,,3.95833333333333,0.0889513108614232,0.0224719101123595,1.0,2026-05-16 08:45:36,,1.333333,,3.958333,Friday,2026-05-16 00:00:00,week,1.33333333333333,0.19047619047619,0.142857142857143,1.333333,,1.333333,,3.958333,2.7966933333333337,2.7966933333333337,,,0.0,False,1.333333,3.333333298272123e-07,0,False,False,green,['On track.'],3,1.33333333333333
STABBINGS (TREND),Stabbings,Public Safety,Boston Police Department,weekday,Non-fatal stabbings versus the historical average. Scores above 1 indicate fewer stabbings.,historical_average / current_average,,True,True,True,0,2026-05-16 07:20:16,,historical_average / current_average,,1.57142857142857,,1.83333333333333,1.57142857142857,0.857142857142857,1.1452380952381,1.33611111111111,1.16666666666667,1.06682389937107,1.27059925093633,1.19101123595506,1.0,2026-05-16 08:45:36,,1.833333,1.145238,1.066824,Friday,2026-05-16 00:00:00,week,1.83333333333333,1.57142857142857,0.857142857142857,1.833333,,1.833333,1.145238,1.066824,1.8546092837490558,2.4819205633030994,1.22619047619048,0.6071428571428499,0.0,False,1.833333,3.333333298272123e-07,0,False,False,green,['On track.'],3,1.83333333333333
CITY SERVICES SATISFACTION SURVEYS,City Services Satisfaction Surveys,Resident Experience,311 Constituent Services,sparse,Average resident satisfaction score from constituent surveys with a goal of 4 out of 5.,sum(numerator_value)/sum(denominator_value)/target,4.0,True,True,True,1,2026-05-16 07:20:18,4.0,sum(numerator_value)/sum(denominator_value)/target,1.25,10.0,2.0,0.816666666666667,49.0,15.0,0.805555555555556,203.0,63.0,0.766129032258065,380.0,124.0,1.0,2026-05-16 08:45:36,1.25,0.816667,0.805556,0.766129,Friday,2026-05-16 00:00:00,day,1.25,10.0,2.0,1.25,1.25,0.816667,0.805556,0.766129,1.085185181481482,1.0924242393939396,1.25,0.0,0.0,False,1.25,0.0,0,False,False,green,['On track.'],3,1.25
MISSED TRASH ON-TIME %,Missed Trash On-Time %,Streets And Public Works,Public Works,weekday,Percent of missed trash requests inspected within one business day.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,11.0,11.0,1.23106060606061,65.0,66.0,1.19767441860465,412.0,430.0,1.20018450184502,1301.0,1355.0,1.0,2026-05-16 08:45:36,1.25,1.231061,1.197674,1.200185,Friday,2026-05-16 00:00:00,day,1.25,11.0,11.0,1.25,1.25,1.231061,1.197674,1.200185,1.1813505134453777,1.1771404245798318,1.17647058823529,0.07352941176471006,0.0,False,1.25,0.0,0,False,False,green,['On track.'],3,1.25
SIGNAL REPAIR ON-TIME %,Signal Repair On-Time %,Streets And Public Works,Transportation,weekday,Percent of traffic signal outages repaired within 24 hours.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,True,2,2026-05-16 07:20:17,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,5.0,5.0,1.25,35.0,35.0,1.18534482758621,110.0,116.0,1.1831550802139,354.0,374.0,1.0,2026-05-16 08:45:36,1.25,1.25,1.185345,1.183155,Friday,2026-05-16 00:00:00,day,1.25,5.0,5.0,1.25,1.25,1.25,1.185345,1.183155,1.1490221003401362,1.1423088323129251,1.07142857142857,0.17857142857142994,0.0,False,1.25,0.0,0,False,False,green,['On track.'],3,1.25
CODE ENFORCEMENT ON-TIME %,Code Enforcement On-Time %,Permits And Code,Inspectional Services,weekday,On-time completion score for code enforcement requests.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,False,4,2026-05-16 07:20:18,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,31.0,31.0,1.24067164179104,266.0,268.0,1.24490212071778,1221.0,1226.0,1.1996329845385,6145.0,6403.0,1.0,2026-05-16 08:45:36,1.25,1.240672,1.244902,1.199633,Friday,2026-05-16 00:00:00,day,1.25,31.0,31.0,1.25,1.25,1.240672,1.244902,1.199633,1.25,1.25,1.25,0.0,0.0,False,1.25,0.0,0,False,False,green,['On track.'],3,1.25
CODE ENFORCEMENT TRASH COLLECTION,Code Enforcement Trash Collection,Permits And Code,Inspectional Services,weekday,Operational score tied to code enforcement trash collection activity.,sum(numerator_value)/sum(denominator_value)/target,0.8,True,True,False,4,2026-05-16 07:20:18,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,16.0,16.0,1.23062015503876,254.0,258.0,1.22156783103168,1203.0,1231.0,1.15846864056033,2911.0,3141.0,1.0,2026-05-16 08:45:36,1.25,1.23062,1.221568,1.158469,Friday,2026-05-16 00:00:00,day,1.25,16.0,16.0,1.25,1.25,1.23062,1.221568,1.158469,1.0509208610523433,1.0509208610523433,1.25,0.0,0.0,False,1.25,0.0,0,False,False,green,['On track.'],3,1.25
LIBRARY USERS,Library Users,Education And Civic Life,Boston Public Library,weekday,Active Boston Public Library users versus the historical average. Scores above 1 indicate growth.,current_average / historical_average,,True,True,True,5,2026-05-16 07:20:14,,current_average / historical_average,,,11632.7419354839,1.77338118808939,20629.2857142857,11632.7419354839,1.78688807031805,20768.6666666667,11622.8134328358,1.74346117305881,20838.5505617978,11952.4030037547,1.0,2026-05-16 08:45:36,,1.773381,1.786888,1.743461,Friday,2026-05-16 00:00:00,week,1.77338118808939,20629.2857142857,11632.7419354839,1.773381,,1.773381,1.786888,1.743461,1.5714501689151135,1.503136523743271,1.73922398336083,0.034157204728559876,0.0,False,1.773381,1.880893898409397e-07,0,False,False,green,['On track.'],3,1.77338118808939
